epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
97,0.158258,0.158258,0.000000,1.345714,88.9439,0.0593,3.1890,0.0255
98,0.158269,0.158269,0.000000,1.327983,90.7247,0.0577,3.2448,0.0256
99,0.171602,0.171602,0.000000,1.368403,106.9417,0.0558,3.1423,0.0283
100,0.150699,0.150699,0.000000,1.309341,89.9824,0.0562,3.2694,0.0262
101,0.138732,0.138732,0.000000,1.291027,79.4821,0.0550,3.3236,0.0246
102,0.162207,0.162207,0.000000,1.362830,95.5989,0.0551,3.2649,0.0258
103,0.162222,0.162222,0.000000,1.362670,94.0588,0.0545,3.3393,0.0243
104,0.169736,0.169736,0.000000,1.386196,107.4908,0.0547,3.2214,0.0275
105,0.153167,0.153167,0.000000,1.312630,93.2780,0.0551,3.2026,0.0282
106,0.172440,0.172440,0.000000,1.362758,101.9923,0.0545,3.1789,0.0285
107,0.171868,0.171868,0.000000,1.385494,99.3783,0.0547,3.3446,0.0245
108,0.160012,0.160012,0.000000,1.353873,88.9283,0.0538,3.1788,0.0271
109,0.158486,0.158486,0.000000,1.343300,92.1554,0.0543,3.2890,0.0255
110,0.149489,0.149489,0.000000,1.292619,83.8809,0.0543,3.3069,0.0253
111,0.153625,0.153625,0.000000,1.306437,88.4357,0.0520,3.2810,0.0260
112,0.156913,0.156913,0.000000,1.330280,87.3570,0.0521,3.3969,0.0245
113,0.152552,0.152552,0.000000,1.294118,95.2952,0.0525,3.2993,0.0270
114,0.150501,0.150501,0.000000,1.326986,94.2746,0.0522,3.3434,0.0266
115,0.168388,0.168388,0.000000,1.371356,102.9106,0.0527,3.2831,0.0285
116,0.164625,0.164625,0.000000,1.353341,94.0474,0.0506,3.4107,0.0261
117,0.146558,0.146558,0.000000,1.283698,91.5250,0.0492,3.3795,0.0270
118,0.154842,0.154842,0.000000,1.334054,88.9526,0.0501,3.4882,0.0253
119,0.156329,0.156329,0.000000,1.319297,97.6862,0.0512,3.4941,0.0256
120,0.159716,0.159716,0.000000,1.315830,91.7142,0.0527,3.5209,0.0255
121,0.140925,0.140925,0.000000,1.279155,82.9314,0.0531,3.3878,0.0285
122,0.145786,0.145786,0.000000,1.294601,86.7818,0.0496,3.4151,0.0265
123,0.151942,0.151942,0.000000,1.316475,88.0993,0.0503,3.4827,0.0257
124,0.151239,0.151239,0.000000,1.303228,91.2249,0.0500,3.5150,0.0253
125,0.153534,0.153534,0.000000,1.301720,96.5021,0.0495,3.5344,0.0250
126,0.153778,0.153778,0.000000,1.326434,93.3754,0.0494,3.5739,0.0245
127,0.152027,0.152027,0.000000,1.321704,94.0451,0.0496,3.4505,0.0267
128,0.144994,0.144994,0.000000,1.292735,85.3894,0.0505,3.4644,0.0267
129,0.161948,0.161948,0.000000,1.362974,95.8225,0.0506,3.3585,0.0292
130,0.149860,0.149860,0.000000,1.286942,82.3954,0.0502,3.3916,0.0281
131,0.153198,0.153198,0.000000,1.281813,93.6456,0.0492,3.4338,0.0269
132,0.148559,0.148559,0.000000,1.321221,89.0937,0.0495,3.4315,0.0275
133,0.143229,0.143229,0.000000,1.260687,86.1178,0.0490,3.4729,0.0267
134,0.144302,0.144302,0.000000,1.258667,88.5623,0.0488,3.4397,0.0275
135,0.150227,0.150227,0.000000,1.282086,88.8997,0.0481,3.5217,0.0259
136,0.164535,0.164535,0.000000,1.348400,96.8695,0.0490,3.4780,0.0270
137,0.141711,0.141711,0.000000,1.283668,89.1784,0.0489,3.5731,0.0256
138,0.160039,0.160039,0.000000,1.327700,100.8989,0.0481,3.6264,0.0243
139,0.157925,0.157925,0.000000,1.308984,92.2153,0.0483,3.4664,0.0277
140,0.158747,0.158747,0.000000,1.329342,95.5432,0.0481,3.4529,0.0278
141,0.165282,0.165282,0.000000,1.371400,92.5330,0.0476,3.4509,0.0279
142,0.152345,0.152345,0.000000,1.318484,91.1989,0.0479,3.5424,0.0266
143,0.160180,0.160180,0.000000,1.337653,97.2960,0.0493,3.4758,0.0285
144,0.143513,0.143513,0.000000,1.259495,86.2659,0.0491,3.5468,0.0271
145,0.140771,0.140771,0.000000,1.255489,87.6835,0.0491,3.5045,0.0278
146,0.141047,0.141047,0.000000,1.266672,84.0746,0.0488,3.5630,0.0267
147,0.159334,0.159334,0.000000,1.339695,96.0515,0.0487,3.5448,0.0273
148,0.154972,0.154972,0.000000,1.338968,90.1478,0.0486,3.5724,0.0267
149,0.151463,0.151463,0.000000,1.314009,97.8953,0.0484,3.5665,0.0268
150,0.157227,0.157227,0.000000,1.301931,98.9471,0.0486,3.5679,0.0268
151,0.144809,0.144809,0.000000,1.266872,86.4987,0.0478,3.5350,0.0273
